"ID","Title","Is Automated","Steps","Steps","Steps (Step)","Template","is_converted"
"C972","Las acciones de Invox Genesis se están guardando en el sistema de log","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la funcionalidad de Genesis (ej. crear/editar nota clínica, cambiar estado, importar datos).</li><li>Ejecutar 1-2 acciones relevantes (guardar, actualizar, eliminar).</li><li>Abrir sección de logs / auditoría (panel de logs, API de logs, BD de audit).</li><li>Filtrar por usuario/evento/fecha recientes.</li><li>Verificar que cada acción se registró.</li></ol>","","","Test Case (Text)","1"
"C585","TC-GEN-001: Iniciar consulta en tiempo real exitosamente","Yes","<strong>Paso 1: Navegación al módulo de consultas</strong>

Acceder al dashboard principal

Localizar y hacer clic en el menú/opción ""Consultas"" o ""Consultas en tiempo real""

<strong>Paso 2: Iniciar nueva consulta</strong>

Hacer clic en el botón ""Nueva consulta"" o ""Iniciar consulta en tiempo real""

El sistema debe abrir el formulario/pantalla de consulta

<strong>Paso 3: Verificar carga de componentes</strong>

Verificar que todos los campos necesarios estén visibles

Verificar que la interfaz de tiempo real esté activa

Confirmar que los indicadores de conectividad muestren estado ""Conectado""","","","Test Case (Text)","1"
"C586","TC-GEN-002: Grabar audio con micrófono predeterminado","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la funcionalidad de grabación de audio en la aplicación.</li><li>Iniciar la grabación usando el micrófono predeterminado.</li><li>Hablar o generar sonido durante la grabación.</li><li>Detener la grabación.</li><li>Reproducir el audio grabado para verificar calidad y funcionamiento.</li></ol>","","","Test Case (Text)","1"
"C587","TC-GEN-003: Cambiar dispositivo de audio durante grabación","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Iniciar la grabación de audio en la aplicación.</li><li>Durante la grabación, acceder a la opción para cambiar el dispositivo de audio.</li><li>Seleccionar un nuevo dispositivo de audio disponible.</li><li>Continuar la grabación tras el cambio.</li><li>Finalizar y reproducir el audio grabado.</li></ol>","","","Test Case (Text)","1"
"C588","TC-GEN-004: Pausar y reanudar grabación","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Iniciar la grabación de audio.</li><li>Pulsar el botón de pausa para detener temporalmente la grabación.</li><li>Pulsar el botón de reanudar para continuar la grabación.</li><li>Repetir la pausa y reanudación si es necesario.</li><li>Finalizar y reproducir el audio grabado.</li></ol>","","","Test Case (Text)","1"
"C589","TC-GEN-005: Transcripción en vivo con múltiples hablantes","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Iniciar la función de transcripción en vivo en la aplicación.</li><li>Permitir que varios hablantes intervengan durante la sesión.</li><li>Observar cómo la aplicación procesa y muestra la transcripción en tiempo real.</li><li>Verificar si la transcripción identifica o separa los diferentes hablantes.</li><li>Finalizar la sesión y revisar el texto transcrito.</li></ol>","","","Test Case (Text)","1"
"C591","TC-GEN-007: Generar reporte con plantilla por defecto","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la sección de generación de reportes.</li><li>Seleccionar la opción para usar la plantilla por defecto.</li><li>Ingresar o seleccionar los datos requeridos para el reporte.</li><li>Generar el reporte utilizando la plantilla por defecto.</li><li>Revisar y guardar o descargar el reporte generado.</li></ol>","","","Test Case (Text)","1"
"C592","TC-GEN-008: Generar reporte con plantilla personalizada","Yes","<h3 style='line-height: normal; font-size: 13px; font-weight: unset; margin: 0px 0px 8px; font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; color: rgb(204, 204, 204); font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted"">Paso 1: Acceder a generación de reporte</h3><ul style='padding-inline-start: 24px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'><li>Seleccionar una nota clínica existente</li><li>Hacer clic en ""Generar reporte"" o ""Exportar""</li><li>Verificar que se muestre opción de plantillas</li></ul><h3 style='line-height: normal; font-size: 13px; font-weight: unset; margin: 0px 0px 8px; font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; color: rgb(204, 204, 204); font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'>Paso 2: Seleccionar plantilla personalizada</h3><ul style='padding-inline-start: 24px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'><li>Buscar sección ""Plantillas disponibles""</li><li>Seleccionar plantilla personalizada (ej: ""Informe Cardiología"", ""Reporte Pediátrico"")</li><li>Verificar preview de la plantilla (opcional)</li></ul><h3 style='line-height: normal; font-size: 13px; font-weight: unset; margin: 0px 0px 8px; font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; color: rgb(204, 204, 204); font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'>Paso 3: Configurar parámetros del reporte</h3><ul style='padding-inline-start: 24px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'><li>Revisar campos personalizables de la plantilla</li><li>Completar información adicional si es requerida</li><li>Seleccionar formato de salida (PDF, DOCX, HTML)</li></ul><h3 style='line-height: normal; font-size: 13px; font-weight: unset; margin: 0px 0px 8px; font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; color: rgb(204, 204, 204); font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'>Paso 4: Generar reporte</h3><ul style='padding-inline-start: 24px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'><li>Hacer clic en ""Generar reporte""</li><li>Esperar procesamiento</li><li>Verificar indicador de progreso</li></ul><h3 style='line-height: normal; font-size: 13px; font-weight: unset; margin: 0px 0px 8px; font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; color: rgb(204, 204, 204); font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'>Paso 5: Validar reporte generado</h3><ul style='padding-inline-start: 24px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial'><li>Abrir/descargar el reporte generado</li><li>Verificar que use la estructura de la plantilla seleccionada</li><li>Confirmar que los datos de la nota se hayan insertado correctamente</li><li>Revisar formato, estilos y branding según plantilla</li></ul>","","","Test Case (Text)","1"
"C593","TC-GEN-009: Editar transcripción (agregar/eliminar segmentos)","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la transcripción que se desea editar.</li><li>Seleccionar la opción para agregar un nuevo segmento y añadir el texto correspondiente.</li><li>Seleccionar un segmento existente y eliminarlo.</li><li>Guardar los cambios realizados en la transcripción.</li><li>Revisar que la transcripción refleje correctamente las ediciones.</li></ol>","","","Test Case (Text)","1"
"C594","TC-GEN-010: Editar reporte médico generado","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder al reporte médico que se desea editar.</li><li>Seleccionar la opción de edición.</li><li>Modificar el contenido necesario (texto, campos, observaciones, etc.).</li><li>Guardar los cambios realizados.</li><li>Revisar que el reporte actualizado refleje correctamente las ediciones.</li></ol>","","","Test Case (Text)","1"
